POS,PLAYER,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
86,Quinton de Kock,66.5,7,0,0,19,4,2,0
87,CM Gautam,65,9,0,0,13,5,3,3
88,Kedar Jadhav,64.5,10,0,0,13,7,3,0
89,Stuart Binny,63.5,13,3,18,4,5,3,0
90,Ashish Nehra,58,4,8,30,0,0,0,0
91,Aditya Tare,58,15,0,0,16,3,0,3
92,Shreyas Gopal,56,4,6,30,1,0,1,0
93,David Hussey,55.5,5,2,5,8,6,1,0
94,Manoj Tiwary,54.5,8,0,3,14,4,1,0
95,Yogesh Takawale,53.5,5,0,0,17,1,2,1
96,Lokesh Rahul,50.5,11,0,0,12,3,4,0
97,Shivam Sharma,49.5,4,3,34,1,0,1,0
98,Ankit Sharma,49.5,3,4,22,4,1,0,0
99,Samuel Badree,47,4,2,40,0,0,0,0
100,Muttiah Muralitharan,46.5,5,3,36,0,0,0,0
101,Ryan ten Doeschate,45.5,10,1,13,3,4,3,0
102,Praveen Kumar,43.5,3,3,33,0,0,0,0
103,Mayank Agarwal,43,8,0,0,12,3,1,0
104,Cheteshwar Pujara,42.5,6,0,0,17,0,0,0
105,Harshal Patel,42,3,4,22,1,1,0,0
106,Beuran Hendricks,41.5,3,4,25,0,0,1,0
107,Moises Henriques,39,4,4,20,1,0,1,0
108,Abu Nechim,38,4,3,25,1,0,0,0
109,Laxmi Ratan Shukla,36.5,5,1,22,2,1,1,0
110,Ishant Sharma,36.5,3,3,26,0,0,0,0
111,Brad Hodge,36,4,0,0,4,6,2,0
112,Shaun Marsh,33,2,0,0,7,3,2,0
113,Rahul Shukla,32.5,3,2,18,2,0,1,0
114,Tim Southee,32.5,3,0,25,1,0,2,0
115,Rahul Tewatia,31.5,3,2,21,0,1,0,0
116,Sachin Rana,31.5,9,0,3,7,1,3,0
117,Siddarth Kaul,31,5,2,24,0,0,0,0
118,Jimmy Neesham,28.5,4,1,14,3,1,0,0
119,Chris Lynn,28,2,0,0,5,3,2,0
120,Krishmar Santokie,28,2,3,15,0,0,1,0
121,Venugopal Rao,28,7,0,3,8,0,2,0
122,Ben Dunk,25,3,0,0,7,0,3,0
123,Ravi Rampaul,25,2,1,18,0,1,0,0
124,Jason Holder,23,1,1,6,2,1,2,0
125,Ross Taylor,20,4,0,0,6,0,2,0
126,Parveez Rasool,20,3,1,14,0,0,1,0
127,Nathan Coulter-Nile,19,2,2,12,0,0,0,0
128,Mithun Manhas,18.5,12,0,0,3,1,3,0
129,Abhishek Nayar,18.5,5,0,0,5,1,1,0
130,Ben Cutting,18.5,1,1,9,0,1,1,0
131,Murali Kartik,16,2,1,10,0,0,1,0
132,Pat Cummins,15.5,1,1,12,0,0,0,0
133,Marchant de Lange,14,1,2,7,0,0,0,0
134,Vikramjeet Malik,13,1,1,7,0,0,1,0
135,John Hastings,12.5,1,1,9,0,0,0,0
136,Rahul Sharma,12.5,2,1,9,0,0,0,0
137,Rilee Rossouw,12,3,0,0,2,2,0,0
138,Pawan Suyal,11.5,1,1,8,0,0,0,0
139,Vijay Zol,11,3,0,0,3,1,0,0
140,Pawan Negi,10.5,2,0,8,0,0,1,0
141,Nic Maddinson,10,2,0,0,3,0,1,0
142,Andre Russell,9.5,2,1,6,0,0,0,0
143,Mandeep Singh,7.5,3,0,0,2,0,1,0
144,Iqbal Abdulla,4.5,1,0,2,0,0,1,0
145,Shadab Jakati,4,1,0,4,0,0,0,0
146,Dwayne Bravo,3.5,1,0,0,0,1,0,0
147,Manvinder Bisla,2.5,1,0,0,0,0,1,0
148,Dishant Yagnik,2.5,1,0,0,0,0,1,0
149,Vijay Shankar,1,1,0,1,0,0,0,0
150,Unmukt Chand,0,1,0,0,0,0,0,0
151,Srikkanth Anirudha,0,1,0,0,0,0,0,0
