POS,PLAYER,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
135,Anureet Singh,10,3,1,4,0,0,1,0
136,Kedar Jadhav,9.5,1,0,0,1,2,0,0
137,Mark Wood,8.5,1,0,6,0,0,1,0
138,Junior Dala,7,1,0,7,0,0,0,0
139,Khaleel Ahmed,7,1,0,7,0,0,0,0
140,Akila Dananjaya,6,1,0,6,0,0,0,0
141,Akshdeep Nath,5,1,0,0,1,0,1,0
142,Pradeep Sangwan,5,1,0,5,0,0,0,0
143,Prashant Chopra,5,1,0,0,2,0,0,0
144,Mahipal Lomror,4.5,2,0,2,1,0,0,0
145,Dhruv Shorey,3.5,1,0,0,0,1,0,0
146,Murali Vijay,3.5,1,0,0,0,1,0,0
147,Ankit Sharma,1,1,0,1,0,0,0,0
148,Naman Ojha,0,1,0,0,0,0,0,0
149,Ricky Bhui,0,1,0,0,0,0,0,0
